timestamp,sme,s_m_distance,orbital_p,average_power,right_flag,eclipse_l,full_off,average_xtx,gsep_dur,lvah,sh,thp2
1598411792,36.3121040539,207202315.7201415,25141,120.17897137404586,1,0,1,0.824672037758272,25141,0.5921834224449963,712.869782854947,108.13203305664709
1598436933,36.3121040539,207202315.7201415,25139,117.16055770700615,1,0,1,0.43707574740892324,25139,0.5921834224449963,712.869782854947,110.80569357364496
1598462072,36.3121040539,207202315.7201415,25136,121.10235407124676,1,0,1,0.02149888754071251,25136,0.5921834224449963,712.869782854947,113.67236559727587
1598487208,35.4605953449,207202315.7201415,25136,111.49241885350328,1,0,1,2.0534758221452196,25136,0.5801429178244187,712.869782854947,100.57876023241218
1598512344,35.4605953449,207202315.7201415,25136,109.11394821882988,1,0,1,1.7258011720419861,25136,0.5801429178244187,712.869782854947,102.83907798109979
1598537480,35.4605953449,207202315.7201415,25139,119.93590942675162,1,0,1,0.6883023420089134,25139,0.5801429178244187,712.869782854947,109.99580194197861
1598562619,35.4605953449,207202315.7201415,25140,115.56733732484078,1,0,1,1.357003448985987,25140,0.5801429178244187,712.869782854947,105.3830649475509
1598587759,35.016962277,207202315.7201415,25141,103.12578549618316,1,0,1,0.8606984680852157,25141,0.5738189191944241,712.869782854947,109.29143226125402
1598612900,35.016962277,207202315.7201415,25140,108.24690535031853,1,0,1,0.6031590647987338,25140,0.5738189191944241,712.869782854947,111.06795322206514
1598638040,35.016962277,207202315.7201415,25137,133.96409179051662,1,0,1,0.02144710117268225,25137,0.5738189191944241,712.869782854947,115.0806343238643
1598663177,34.5611809235,207202315.7201415,25136,80.50788164556963,1,0,1,4.344049303797468,25136,0.567285922839342,712.869782854947,85.76393776513541
1598688313,34.5611809235,207202315.7201415,25137,97.38951781170493,1,0,1,0.5670842547824497,25137,0.567285922839342,712.869782854947,111.81765029300976
1598713450,34.5611809235,207202315.7201415,25140,123.20824809160295,1,0,1,0.02192523975445298,25140,0.567285922839342,712.869782854947,115.57818714606395
1598738590,34.5611809235,207202315.7201415,25141,124.40996598726109,1,0,1,0.9161787421987269,25141,0.567285922839342,712.869782854947,109.40957732908831
1598763731,34.0930742354,207202315.7201415,25141,97.94924631043264,1,0,1,0.8284884748231265,25141,0.5605388966910846,712.869782854947,110.53172921969389
1598788872,34.0930742354,207202315.7201415,25140,122.65347544529267,1,0,1,0.8245023431017828,25140,0.5605388966910846,712.869782854947,110.55922577542538
1598814012,34.0930742354,207202315.7201415,25138,114.90052445859865,1,0,1,0.6997707910955088,25138,0.5605388966910846,712.869782854947,111.41963087765808
1598839150,33.6124620905,207202315.7201415,25138,118.2233830788805,1,0,1,1.4990865181157738,25138,0.5535727002790176,712.869782854947,106.4399693109983
1598864288,33.6124620905,207202315.7201415,25137,114.31724802547767,1,0,1,0.9656743733898098,25137,0.5535727002790176,712.869782854947,110.1194756069836
1598889425,33.6124620905,207202315.7201415,25141,118.09141501272256,1,0,1,0.7331133132544125,25141,0.5535727002790176,712.869782854947,111.72369458367905
1598914566,33.6124620905,207202315.7201415,25142,130.3967147582697,1,0,1,0.021861986912213794,25142,0.5535727002790176,712.869782854947,116.62994533027293
1598939708,33.1191627304,207202315.7201415,25142,126.51593541401284,1,0,1,0.6729760593452208,25142,0.5463821077855087,712.869782854947,112.68979021081307
1598964850,33.1191627304,207202315.7201415,25140,105.60148142493652,1,0,1,1.2676551531628282,25140,0.5463821077855087,712.869782854947,108.5876611321494
1598989990,33.1191627304,207202315.7201415,25138,100.81491834394902,1,0,1,2.2769764366509313,25138,0.5463821077855087,712.869782854947,101.62530743625751
1599015128,33.1191627304,207591865.6287878,25139,109.82089312977088,1,0,1,0.8676428283943713,25139,0.5463821077855087,710.196866891319,111.81850237689488
1599040267,33.1191627304,207591865.6287878,25139,124.39804529262071,1,0,1,0.04477088699745551,25139,0.5463821077855087,710.196866891319,117.49471826192143
1599065406,33.1191627304,207591865.6287878,25141,121.50037630573236,1,0,1,0.7277842845642966,25141,0.5463821077855087,710.196866891319,112.7832543002589
1599090547,33.1191627304,207591865.6287878,25142,114.96321106870235,1,0,1,1.591832882111956,25142,0.5463821077855087,710.196866891319,106.82299957762373
1599115689,32.0937783871,207591865.6287878,25141,114.44702569974568,1,0,1,0.7261666698867314,25141,0.5313065894236604,710.196866891319,113.95017473252247
1599140830,32.0937783871,207591865.6287878,25140,126.0850631847135,1,0,1,0.021887324876433176,25140,0.5313065894236604,710.196866891319,118.8083323686391
1599165970,32.0937783871,207591865.6287878,25138,118.69400178117061,1,0,1,1.5978852532061047,25138,0.5313065894236604,710.196866891319,107.93701202641489
1599191108,31.5613395937,207591865.6287878,25139,112.63568369426761,1,0,1,1.601250605001246,25139,0.5234110828067962,710.196866891319,108.51910530938889
1599216247,31.5613395937,207591865.6287878,25140,109.95440547073775,1,0,1,0.7668141939045481,25140,0.5234110828067962,710.196866891319,114.27509354210343
1599241387,31.5613395937,207591865.6287878,25142,112.21912099236643,1,0,1,1.3777383181094154,25142,0.5234110828067962,710.196866891319,110.06090535083916
1599266529,31.0155108403,207591865.6287878,25141,112.39723515923565,1,0,1,1.407512116577047,25141,0.5152701042800075,710.196866891319,110.47965077899264
1599291670,31.0155108403,207591865.6287878,25140,121.39417366412225,1,0,1,0.7801773489109475,25140,0.5152701042800075,710.196866891319,114.80704049094558
1599316810,31.0155108403,207591865.6287878,25139,128.53636450381666,1,0,1,0.43717927534479073,25139,0.5152701042800075,710.196866891319,117.17306005700902
1599341949,31.0155108403,207591865.6287878,25139,117.64218947368423,1,0,1,1.7860443374666672,25139,0.5152701042800075,710.196866891319,107.86851471137985
1599367088,30.4561345024,207591865.6287878,25139,111.79288128491605,1,0,1,2.933877382828219,25139,0.5068785532695382,710.196866891319,100.59403609135578
1599392227,30.4561345024,207591865.6287878,25140,128.51465872611462,1,0,1,0.40922015269554185,25140,0.5068785532695382,710.196866891319,118.00926044521893
1599417367,30.4561345024,207591865.6287878,25141,96.20679036664266,1,0,1,0.7390436468677124,25141,0.5068785532695382,710.196866891319,115.73411985202182
1599442508,29.8830651892,207591865.6287878,25140,116.27146846473028,1,0,1,4.351182171784233,25140,0.4982314908660317,710.196866891319,91.48031530841013
1599467648,29.8830651892,207591865.6287878,25140,121.10278096551721,1,0,1,1.9268081247282705,25140,0.4982314908660317,710.196866891319,108.20378075284353
1599492788,29.8830651892,207591865.6287878,25138,120.92487315521619,1,0,1,1.1080106680661652,25138,0.4982314908660317,710.196866891319,113.85189061819491
1599517926,29.8830651892,207591865.6287878,25138,119.0977012738852,1,0,1,0.8598432246407418,25138,0.4982314908660317,710.196866891319,115.56376328470785
1599543064,29.2961721858,207591865.6287878,25139,119.72235585241745,1,0,1,1.6302393098244243,25139,0.48932418948686474,710.196866891319,110.9324054775233
1599568203,29.2961721858,207591865.6287878,25140,120.83231552162869,1,0,1,0.8082713617340587,25140,0.48932418948686474,710.196866891319,116.60238556702873
1599593343,29.2961721858,207591865.6287878,25141,117.26799057324843,1,0,1,1.5716832992828007,25141,0.48932418948686474,710.196866891319,111.33632805706333
1599618484,29.2961721858,208080924.52669176,25139,96.86845356234095,1,0,1,0.6136556738066202,25139,0.48932418948686474,706.8623956519793,118.53309575722773
1599643623,29.2961721858,208080924.52669176,25138,128.6111095541402,1,0,1,0.9502942466777089,25138,0.48932418948686474,706.8623956519793,116.21094437654062
1599668761,29.2961721858,208080924.52669176,25137,116.85340661577607,1,0,1,1.4815936364630784,25137,0.48932418948686474,706.8623956519793,112.54601198027368
1599693898,29.2961721858,208080924.52669176,25138,113.3119522900764,1,0,1,2.200029549120839,25138,0.48932418948686474,706.8623956519793,107.59020156233834
1599719036,28.0804802338,208080924.52669176,25139,101.06375745222923,1,0,1,1.0725657508471216,25139,0.47071132721475234,706.8623956519793,116.79446072280749
1599744175,28.0804802338,208080924.52669176,25140,110.60292290076323,1,0,1,1.2636321315877865,25140,0.47071132721475234,706.8623956519793,115.47647432553944
1599769315,28.0804802338,208080924.52669176,25141,121.3758338853501,1,0,1,1.3645762113668811,25141,0.47071132721475234,706.8623956519793,114.78015651432716
1599794456,27.4515155643,208080924.52669176,25137,124.80225877862587,1,0,1,0.8987726261615373,25137,0.46099784786824455,706.8623956519793,118.73797748339175
1599819593,27.4515155643,208080924.52669176,25138,133.2929551592358,1,0,1,0.4915777334560568,25138,0.46099784786824455,706.8623956519793,121.5468302367774
1599844731,27.4515155643,208080924.52669176,25136,135.0522114649681,1,0,1,0.40932750515923627,25136,0.46099784786824455,706.8623956519793,122.11419683286391
1599869867,26.8084016257,208080924.52669176,25138,113.48804834605596,1,0,1,2.524751595020323,25138,0.45100842108328043,706.8623956519793,108.28772287241722
